Step:    1, Loss: 2.2318, D_loss: 0.9988, G_loss: 0.0000, G_reg: 1.2330
Step:    2, Loss: 2.1592, D_loss: 1.0074, G_loss: 0.0000, G_reg: 1.1518
Step:    3, Loss: 2.2963, D_loss: 1.0036, G_loss: 0.0000, G_reg: 1.2927
Step:    4, Loss: 2.1784, D_loss: 0.9959, G_loss: 0.0000, G_reg: 1.1825
Step:    5, Loss: 2.3662, D_loss: 0.9945, G_loss: 0.0000, G_reg: 1.3716
Step:    6, Loss: 2.3869, D_loss: 0.9953, G_loss: 0.0000, G_reg: 1.3916
Step:    7, Loss: 2.2363, D_loss: 0.9928, G_loss: 0.0000, G_reg: 1.2435
Step:    8, Loss: 2.0609, D_loss: 0.9893, G_loss: 0.0000, G_reg: 1.0716
Step:    9, Loss: 2.2914, D_loss: 0.9881, G_loss: 0.0000, G_reg: 1.3033
Step:   10, Loss: 2.4765, D_loss: 0.9860, G_loss: 0.0000, G_reg: 1.4904
Step:   11, Loss: 2.5151, D_loss: 0.9875, G_loss: 0.0000, G_reg: 1.5275
Step:   12, Loss: 2.1781, D_loss: 0.9840, G_loss: 0.0000, G_reg: 1.1940
Step:   13, Loss: 1.9969, D_loss: 0.9793, G_loss: 0.0000, G_reg: 1.0176
Step:   14, Loss: 2.1954, D_loss: 0.9759, G_loss: 0.0000, G_reg: 1.2195
Step:   15, Loss: 2.3657, D_loss: 0.9810, G_loss: 0.0000, G_reg: 1.3847
Step:   16, Loss: 2.0481, D_loss: 0.9806, G_loss: 0.0000, G_reg: 1.0675
Step:   17, Loss: 1.7281, D_loss: 0.9792, G_loss: 0.0000, G_reg: 0.7488
Step:   18, Loss: 2.0807, D_loss: 0.9718, G_loss: 0.0000, G_reg: 1.1088
Step:   19, Loss: 1.9426, D_loss: 0.9764, G_loss: 0.0000, G_reg: 0.9662
Step:   20, Loss: 1.7565, D_loss: 0.9813, G_loss: 0.0000, G_reg: 0.7752
Step:   21, Loss: 2.1973, D_loss: 0.9633, G_loss: 0.0000, G_reg: 1.2340
Step:   22, Loss: 1.9642, D_loss: 0.9651, G_loss: 0.0000, G_reg: 0.9991
Step:   23, Loss: 1.9029, D_loss: 0.9711, G_loss: 0.0000, G_reg: 0.9319
Step:   24, Loss: 1.7635, D_loss: 0.9561, G_loss: 0.0000, G_reg: 0.8074
