Step:    1, Loss: 2.0907, D_loss: 1.0022, G_loss: 0.0000, G_reg: 1.0885
Step:    2, Loss: 2.0081, D_loss: 1.0020, G_loss: 0.0000, G_reg: 1.0061
Step:    3, Loss: 2.0401, D_loss: 0.9975, G_loss: 0.0000, G_reg: 1.0425
Step:    4, Loss: 1.9468, D_loss: 0.9925, G_loss: 0.0000, G_reg: 0.9543
Step:    5, Loss: 2.0204, D_loss: 0.9913, G_loss: 0.0000, G_reg: 1.0291
Step:    6, Loss: 1.9713, D_loss: 0.9840, G_loss: 0.0000, G_reg: 0.9873
Step:    7, Loss: 1.9529, D_loss: 0.9871, G_loss: 0.0000, G_reg: 0.9658
Step:    8, Loss: 1.8187, D_loss: 0.9909, G_loss: 0.0000, G_reg: 0.8278
Step:    9, Loss: 1.7958, D_loss: 0.9834, G_loss: 0.0000, G_reg: 0.8124
Step:   10, Loss: 1.9432, D_loss: 0.9801, G_loss: 0.0000, G_reg: 0.9630
Step:   11, Loss: 1.8695, D_loss: 0.9859, G_loss: 0.0000, G_reg: 0.8836
Step:   12, Loss: 1.7351, D_loss: 0.9783, G_loss: 0.0000, G_reg: 0.7567
Step:   13, Loss: 1.7861, D_loss: 0.9764, G_loss: 0.0000, G_reg: 0.8097
Step:   14, Loss: 1.7015, D_loss: 0.9635, G_loss: 0.0000, G_reg: 0.7379
Step:   15, Loss: 1.5834, D_loss: 0.9679, G_loss: 0.0000, G_reg: 0.6155
Step:   16, Loss: 1.6196, D_loss: 0.9641, G_loss: 0.0000, G_reg: 0.6555
Step:   17, Loss: 1.6166, D_loss: 0.9700, G_loss: 0.0000, G_reg: 0.6466
Step:   18, Loss: 1.5308, D_loss: 0.9937, G_loss: 0.0000, G_reg: 0.5371
Step:   19, Loss: 1.4641, D_loss: 0.9659, G_loss: 0.0000, G_reg: 0.4982
Step:   20, Loss: 1.4122, D_loss: 0.9508, G_loss: 0.0000, G_reg: 0.4614
Step:   21, Loss: 1.4310, D_loss: 0.9528, G_loss: 0.0000, G_reg: 0.4782
Step:   22, Loss: 1.3802, D_loss: 0.9525, G_loss: 0.0000, G_reg: 0.4277
Step:   23, Loss: 1.3553, D_loss: 0.9483, G_loss: 0.0000, G_reg: 0.4070
Step:   24, Loss: 1.3095, D_loss: 0.9623, G_loss: 0.0000, G_reg: 0.3472
Step:   25, Loss: 1.3392, D_loss: 0.9535, G_loss: 0.0000, G_reg: 0.3857
Step:   26, Loss: 1.2706, D_loss: 0.9376, G_loss: 0.0000, G_reg: 0.3330
Step:   27, Loss: 1.1680, D_loss: 0.9476, G_loss: 0.0000, G_reg: 0.2205
Step:   28, Loss: 1.1788, D_loss: 0.9703, G_loss: 0.0000, G_reg: 0.2085
Step:   29, Loss: 1.1742, D_loss: 0.9319, G_loss: 0.0000, G_reg: 0.2422
Step:   30, Loss: 1.1435, D_loss: 0.9475, G_loss: 0.0000, G_reg: 0.1960
Step:   31, Loss: 1.1253, D_loss: 0.9324, G_loss: 0.0000, G_reg: 0.1929
Step:   32, Loss: 1.1067, D_loss: 0.9169, G_loss: 0.0000, G_reg: 0.1898
Step:   33, Loss: 1.1025, D_loss: 0.9423, G_loss: 0.0000, G_reg: 0.1603
Step:   34, Loss: 1.1656, D_loss: 0.9373, G_loss: 0.0000, G_reg: 0.2283
Step:   35, Loss: 1.1395, D_loss: 0.9566, G_loss: 0.0000, G_reg: 0.1829
Step:   36, Loss: 1.0519, D_loss: 0.9221, G_loss: 0.0000, G_reg: 0.1298
Step:   37, Loss: 1.0037, D_loss: 0.9072, G_loss: 0.0000, G_reg: 0.0965
Step:   38, Loss: 1.1211, D_loss: 0.9189, G_loss: 0.0000, G_reg: 0.2022
Step:   39, Loss: 0.9189, D_loss: 0.8900, G_loss: 0.0000, G_reg: 0.0288
Step:   40, Loss: 1.0466, D_loss: 0.9217, G_loss: 0.0000, G_reg: 0.1248
Step:   41, Loss: 1.0357, D_loss: 0.9212, G_loss: 0.0000, G_reg: 0.1145
Step:   42, Loss: 0.9649, D_loss: 0.9096, G_loss: 0.0000, G_reg: 0.0553
Step:   43, Loss: 0.9745, D_loss: 0.8842, G_loss: 0.0000, G_reg: 0.0903
Step:   44, Loss: 0.9617, D_loss: 0.9199, G_loss: 0.0000, G_reg: 0.0418
Step:   45, Loss: 1.0016, D_loss: 0.9419, G_loss: 0.0000, G_reg: 0.0597
Step:   46, Loss: 0.9675, D_loss: 0.8834, G_loss: 0.0000, G_reg: 0.0841
Step:   47, Loss: 0.9564, D_loss: 0.8840, G_loss: 0.0000, G_reg: 0.0724
Step:   48, Loss: 0.9510, D_loss: 0.8902, G_loss: 0.0000, G_reg: 0.0608
Step:   49, Loss: 0.9969, D_loss: 0.8958, G_loss: 0.0000, G_reg: 0.1011
Step:   50, Loss: 0.9348, D_loss: 0.8840, G_loss: 0.0000, G_reg: 0.0507
Step:   51, Loss: 0.9471, D_loss: 0.8615, G_loss: 0.0000, G_reg: 0.0855
Step:   52, Loss: 0.9028, D_loss: 0.8748, G_loss: 0.0000, G_reg: 0.0280
Step:   53, Loss: 1.0131, D_loss: 0.9560, G_loss: 0.0000, G_reg: 0.0571
Step:   54, Loss: 0.8579, D_loss: 0.8258, G_loss: 0.0000, G_reg: 0.0320
Step:   55, Loss: 0.8733, D_loss: 0.8522, G_loss: 0.0000, G_reg: 0.0212
Step:   56, Loss: 0.9396, D_loss: 0.9144, G_loss: 0.0000, G_reg: 0.0253
Step:   57, Loss: 0.9388, D_loss: 0.8299, G_loss: 0.0000, G_reg: 0.1088
Step:   58, Loss: 0.9063, D_loss: 0.8032, G_loss: 0.0000, G_reg: 0.1031
Step:   59, Loss: 0.9508, D_loss: 0.8442, G_loss: 0.0000, G_reg: 0.1067
Step:   60, Loss: 0.9180, D_loss: 0.8248, G_loss: 0.0000, G_reg: 0.0932
Step:   61, Loss: 0.8656, D_loss: 0.7906, G_loss: 0.0000, G_reg: 0.0750
Step:   62, Loss: 0.8808, D_loss: 0.8208, G_loss: 0.0000, G_reg: 0.0600
Step:   63, Loss: 0.8838, D_loss: 0.8358, G_loss: 0.0000, G_reg: 0.0480
Step:   64, Loss: 0.7694, D_loss: 0.7183, G_loss: 0.0000, G_reg: 0.0511
Step:   65, Loss: 0.8802, D_loss: 0.7824, G_loss: 0.0000, G_reg: 0.0977
