Step:    1, Loss: 2.3215, D_loss: 1.0008, G_loss: 0.0000, G_reg: 1.3207
Step:    2, Loss: 2.0776, D_loss: 0.9944, G_loss: 0.0000, G_reg: 1.0832
Step:    3, Loss: 1.9714, D_loss: 0.9946, G_loss: 0.0000, G_reg: 0.9768
Step:    4, Loss: 2.1175, D_loss: 0.9861, G_loss: 0.0000, G_reg: 1.1314
Step:    5, Loss: 1.9189, D_loss: 0.9827, G_loss: 0.0000, G_reg: 0.9362
Step:    6, Loss: 1.8065, D_loss: 0.9866, G_loss: 0.0000, G_reg: 0.8199
Step:    7, Loss: 1.7463, D_loss: 0.9792, G_loss: 0.0000, G_reg: 0.7671
Step:    8, Loss: 2.1955, D_loss: 0.9751, G_loss: 0.0000, G_reg: 1.2204
Step:    9, Loss: 2.1590, D_loss: 0.9848, G_loss: 0.0000, G_reg: 1.1741
Step:   10, Loss: 1.5669, D_loss: 0.9781, G_loss: 0.0000, G_reg: 0.5888
Step:   11, Loss: 2.0140, D_loss: 0.9743, G_loss: 0.0000, G_reg: 1.0397
Step:   12, Loss: 1.9601, D_loss: 0.9785, G_loss: 0.0000, G_reg: 0.9816
Step:   13, Loss: 2.1642, D_loss: 0.9605, G_loss: 0.0000, G_reg: 1.2037
Step:   14, Loss: 1.9692, D_loss: 0.9701, G_loss: 0.0000, G_reg: 0.9991
Step:   15, Loss: 1.7367, D_loss: 0.9706, G_loss: 0.0000, G_reg: 0.7661
Step:   16, Loss: 1.8855, D_loss: 0.9562, G_loss: 0.0000, G_reg: 0.9293
Step:   17, Loss: 2.2344, D_loss: 0.9645, G_loss: 0.0000, G_reg: 1.2698
Step:   18, Loss: 2.1668, D_loss: 0.9580, G_loss: 0.0000, G_reg: 1.2088
Step:   19, Loss: 1.7642, D_loss: 0.9660, G_loss: 0.0000, G_reg: 0.7983
Step:   20, Loss: 1.6239, D_loss: 0.9377, G_loss: 0.0000, G_reg: 0.6862
Step:   21, Loss: 1.4687, D_loss: 0.9509, G_loss: 0.0000, G_reg: 0.5178
Step:   22, Loss: 1.5639, D_loss: 0.9511, G_loss: 0.0000, G_reg: 0.6128
