Step:    1, Loss: 1.9531, D_loss: 0.9967, G_loss: 0.0000, G_reg: 0.9564
Step:    2, Loss: 2.0822, D_loss: 0.9923, G_loss: 0.0000, G_reg: 1.0899
Step:    3, Loss: 2.2558, D_loss: 0.9943, G_loss: 0.0000, G_reg: 1.2615
Step:    4, Loss: 2.0914, D_loss: 0.9896, G_loss: 0.0000, G_reg: 1.1018
Step:    5, Loss: 1.9185, D_loss: 0.9841, G_loss: 0.0000, G_reg: 0.9344
Step:    6, Loss: 2.0237, D_loss: 0.9805, G_loss: 0.0000, G_reg: 1.0432
Step:    7, Loss: 1.7923, D_loss: 0.9808, G_loss: 0.0000, G_reg: 0.8115
Step:    8, Loss: 2.3008, D_loss: 0.9833, G_loss: 0.0000, G_reg: 1.3175
Step:    9, Loss: 1.7950, D_loss: 0.9761, G_loss: 0.0000, G_reg: 0.8189
Step:   10, Loss: 1.9212, D_loss: 0.9777, G_loss: 0.0000, G_reg: 0.9435
Step:   11, Loss: 1.7355, D_loss: 0.9707, G_loss: 0.0000, G_reg: 0.7648
Step:   12, Loss: 1.9171, D_loss: 0.9703, G_loss: 0.0000, G_reg: 0.9469
Step:   13, Loss: 1.6817, D_loss: 0.9758, G_loss: 0.0000, G_reg: 0.7059
Step:   14, Loss: 1.7886, D_loss: 0.9762, G_loss: 0.0000, G_reg: 0.8125
Step:   15, Loss: 1.6906, D_loss: 0.9594, G_loss: 0.0000, G_reg: 0.7312
