Step:    1, Loss: 2.1854, D_loss: 1.0180, G_loss: 0.0000, G_reg: 1.1673
Step:    2, Loss: 1.9497, D_loss: 1.0125, G_loss: 0.0000, G_reg: 0.9372
Step:    3, Loss: 2.1288, D_loss: 1.0049, G_loss: 0.0000, G_reg: 1.1239
Step:    4, Loss: 1.9878, D_loss: 1.0025, G_loss: 0.0000, G_reg: 0.9853
Step:    5, Loss: 2.2226, D_loss: 1.0081, G_loss: 0.0000, G_reg: 1.2145
Step:    6, Loss: 1.7242, D_loss: 1.0026, G_loss: 0.0000, G_reg: 0.7217
Step:    7, Loss: 2.1257, D_loss: 0.9936, G_loss: 0.0000, G_reg: 1.1320
Step:    8, Loss: 1.8759, D_loss: 0.9974, G_loss: 0.0000, G_reg: 0.8785
Step:    9, Loss: 2.2424, D_loss: 0.9974, G_loss: 0.0000, G_reg: 1.2450
Step:   10, Loss: 1.6700, D_loss: 0.9946, G_loss: 0.0000, G_reg: 0.6754
Step:   11, Loss: 1.6225, D_loss: 0.9894, G_loss: 0.0000, G_reg: 0.6331
Step:   12, Loss: 1.7203, D_loss: 0.9946, G_loss: 0.0000, G_reg: 0.7257
Step:   13, Loss: 2.0553, D_loss: 0.9801, G_loss: 0.0000, G_reg: 1.0752
Step:   14, Loss: 1.8639, D_loss: 0.9899, G_loss: 0.0000, G_reg: 0.8740
Step:   15, Loss: 1.3959, D_loss: 0.9821, G_loss: 0.0000, G_reg: 0.4138
Step:   16, Loss: 1.8072, D_loss: 0.9732, G_loss: 0.0000, G_reg: 0.8340
