Step:    1, Loss: 1.9174, D_loss: 1.0022, G_loss: 0.0000, G_reg: 0.9153
Step:    2, Loss: 2.2813, D_loss: 1.0019, G_loss: 0.0000, G_reg: 1.2795
Step:    3, Loss: 2.0074, D_loss: 0.9968, G_loss: 0.0000, G_reg: 1.0106
Step:    4, Loss: 2.3800, D_loss: 0.9967, G_loss: 0.0000, G_reg: 1.3833
Step:    5, Loss: 2.0956, D_loss: 0.9852, G_loss: 0.0000, G_reg: 1.1104
Step:    6, Loss: 1.8091, D_loss: 0.9941, G_loss: 0.0000, G_reg: 0.8151
Step:    7, Loss: 1.9040, D_loss: 0.9938, G_loss: 0.0000, G_reg: 0.9102
Step:    8, Loss: 1.9565, D_loss: 0.9924, G_loss: 0.0000, G_reg: 0.9641
Step:    9, Loss: 2.0455, D_loss: 0.9868, G_loss: 0.0000, G_reg: 1.0587
Step:   10, Loss: 2.0320, D_loss: 0.9800, G_loss: 0.0000, G_reg: 1.0520
Step:   11, Loss: 1.3794, D_loss: 0.9777, G_loss: 0.0000, G_reg: 0.4016
Step:   12, Loss: 1.8418, D_loss: 0.9775, G_loss: 0.0000, G_reg: 0.8643
Step:   13, Loss: 2.3093, D_loss: 0.9733, G_loss: 0.0000, G_reg: 1.3359
Step:   14, Loss: 1.8043, D_loss: 0.9722, G_loss: 0.0000, G_reg: 0.8321
Step:   15, Loss: 1.7276, D_loss: 0.9709, G_loss: 0.0000, G_reg: 0.7567
Step:   16, Loss: 1.9656, D_loss: 0.9787, G_loss: 0.0000, G_reg: 0.9869
Step:   17, Loss: 1.9413, D_loss: 0.9753, G_loss: 0.0000, G_reg: 0.9660
Step:   18, Loss: 1.7997, D_loss: 0.9658, G_loss: 0.0000, G_reg: 0.8338
Step:   19, Loss: 1.9635, D_loss: 0.9778, G_loss: 0.0000, G_reg: 0.9858
Step:   20, Loss: 1.6122, D_loss: 0.9644, G_loss: 0.0000, G_reg: 0.6478
