Step:    1, Loss: 3.2056, D_loss: 2.2736, G_loss: 0.0000, G_reg: 0.9320
Step:    2, Loss: 13.6837, D_loss: 11.8685, G_loss: 0.0000, G_reg: 1.8153
Step:    3, Loss: 2.8672, D_loss: 1.4884, G_loss: 0.0000, G_reg: 1.3788
Step:    4, Loss: 2.8640, D_loss: 1.4725, G_loss: 0.0000, G_reg: 1.3915
Step:    5, Loss: 3.7575, D_loss: 2.1368, G_loss: 0.0000, G_reg: 1.6206
Step:    6, Loss: 2.7069, D_loss: 1.9363, G_loss: 0.0000, G_reg: 0.7706
Step:    7, Loss: 2.2353, D_loss: 1.1541, G_loss: 0.0000, G_reg: 1.0812
Step:    8, Loss: 3.4805, D_loss: 3.1725, G_loss: 0.0000, G_reg: 0.3080
Step:    9, Loss: 2.0888, D_loss: 1.0168, G_loss: 0.0000, G_reg: 1.0719
Step:   10, Loss: 2.9375, D_loss: 1.8185, G_loss: 0.0000, G_reg: 1.1189
Step:   11, Loss: 4.9447, D_loss: 3.2273, G_loss: 0.0000, G_reg: 1.7174
