Step:    1, Loss: 8.0275, D_loss: 6.9814, G_loss: 0.0000, G_reg: 1.0461
Step:    2, Loss: 8.8481, D_loss: 7.3890, G_loss: 0.0000, G_reg: 1.4592
Step:    3, Loss: 26.2171, D_loss: 25.0570, G_loss: 0.0000, G_reg: 1.1601
Step:    4, Loss: 13.8696, D_loss: 12.5657, G_loss: 0.0000, G_reg: 1.3038
Step:    5, Loss: 2.3322, D_loss: 1.4450, G_loss: 0.0000, G_reg: 0.8873
Step:    6, Loss: 95.2756, D_loss: 93.9719, G_loss: 0.0000, G_reg: 1.3038
Step:    7, Loss: 2.2465, D_loss: 1.0276, G_loss: 0.0000, G_reg: 1.2189
Step:    8, Loss: 2.7644, D_loss: 1.7389, G_loss: 0.0000, G_reg: 1.0254
Step:    9, Loss: 1.8783, D_loss: 1.0159, G_loss: 0.0000, G_reg: 0.8624
Step:   10, Loss: 3.4939, D_loss: 2.3422, G_loss: 0.0000, G_reg: 1.1516
Step:   11, Loss: 2.2574, D_loss: 1.0082, G_loss: 0.0000, G_reg: 1.2492
Step:   12, Loss: 2.1903, D_loss: 1.0321, G_loss: 0.0000, G_reg: 1.1582
Step:   13, Loss: 2.4857, D_loss: 1.3208, G_loss: 0.0000, G_reg: 1.1650
