Step:    1, Loss: 4.3188, D_loss: 3.2819, G_loss: 0.0000, G_reg: 1.0369
Step:    2, Loss: 3.6270, D_loss: 2.1873, G_loss: 0.0000, G_reg: 1.4397
Step:    3, Loss: 8.8577, D_loss: 7.7149, G_loss: 0.0000, G_reg: 1.1428
Step:    4, Loss: 9.5626, D_loss: 8.3046, G_loss: 0.0000, G_reg: 1.2581
Step:    5, Loss: 2.6178, D_loss: 1.7400, G_loss: 0.0000, G_reg: 0.8777
Step:    6, Loss: 16.0053, D_loss: 14.7423, G_loss: 0.0000, G_reg: 1.2630
Step:    7, Loss: 2.2111, D_loss: 1.0242, G_loss: 0.0000, G_reg: 1.1868
Step:    8, Loss: 2.5989, D_loss: 1.6236, G_loss: 0.0000, G_reg: 0.9753
Step:    9, Loss: 1.8639, D_loss: 1.0279, G_loss: 0.0000, G_reg: 0.8360
Step:   10, Loss: 2.3080, D_loss: 1.1956, G_loss: 0.0000, G_reg: 1.1124
Step:   11, Loss: 2.2029, D_loss: 1.0051, G_loss: 0.0000, G_reg: 1.1978
Step:   12, Loss: 2.0640, D_loss: 0.9824, G_loss: 0.0000, G_reg: 1.0816
Step:   13, Loss: 2.1036, D_loss: 1.0179, G_loss: 0.0000, G_reg: 1.0856
Step:   14, Loss: 1.7256, D_loss: 0.9956, G_loss: 0.0000, G_reg: 0.7300
Step:   15, Loss: 5.8369, D_loss: 5.0533, G_loss: 0.0000, G_reg: 0.7835
Step:   16, Loss: 2.0548, D_loss: 1.0258, G_loss: 0.0000, G_reg: 1.0290
Step:   17, Loss: 1.6530, D_loss: 0.9896, G_loss: 0.0000, G_reg: 0.6634
Step:   18, Loss: 2.6572, D_loss: 1.6230, G_loss: 0.0000, G_reg: 1.0341
Step:   19, Loss: 2.4835, D_loss: 1.4746, G_loss: 0.0000, G_reg: 1.0089
Step:   20, Loss: 1.8612, D_loss: 1.0846, G_loss: 0.0000, G_reg: 0.7766
Step:   21, Loss: 1.8698, D_loss: 1.0665, G_loss: 0.0000, G_reg: 0.8033
Step:   22, Loss: 2.1770, D_loss: 1.3456, G_loss: 0.0000, G_reg: 0.8314
Step:   23, Loss: 2.2428, D_loss: 1.5114, G_loss: 0.0000, G_reg: 0.7314
Step:   24, Loss: 1.4417, D_loss: 0.9910, G_loss: 0.0000, G_reg: 0.4507
Step:   25, Loss: 1.6488, D_loss: 0.9971, G_loss: 0.0000, G_reg: 0.6517
Step:   26, Loss: 1.8400, D_loss: 1.2039, G_loss: 0.0000, G_reg: 0.6362
Step:   27, Loss: 1.5911, D_loss: 1.3095, G_loss: 0.0000, G_reg: 0.2816
Step:   28, Loss: 1.6852, D_loss: 1.2043, G_loss: 0.0000, G_reg: 0.4809
Step:   29, Loss: 1.6034, D_loss: 1.2645, G_loss: 0.0000, G_reg: 0.3388
Step:   30, Loss: 1.1225, D_loss: 0.9831, G_loss: 0.0000, G_reg: 0.1394
Step:   31, Loss: 1.4161, D_loss: 1.3681, G_loss: 0.0000, G_reg: 0.0480
Step:   32, Loss: 1.1395, D_loss: 0.9820, G_loss: 0.0000, G_reg: 0.1574
Step:   33, Loss: 1.5702, D_loss: 1.3768, G_loss: 0.0000, G_reg: 0.1933
Step:   34, Loss: 1.7438, D_loss: 1.6027, G_loss: 0.0000, G_reg: 0.1410
Step:   35, Loss: 1.6569, D_loss: 1.2707, G_loss: 0.0000, G_reg: 0.3862
Step:   36, Loss: 1.3694, D_loss: 1.0055, G_loss: 0.0000, G_reg: 0.3639
Step:   37, Loss: 1.0657, D_loss: 0.9882, G_loss: 0.0000, G_reg: 0.0775
Step:   38, Loss: 1.0827, D_loss: 1.0149, G_loss: 0.0000, G_reg: 0.0678
Step:   39, Loss: 1.4080, D_loss: 1.2811, G_loss: 0.0000, G_reg: 0.1269
Step:   40, Loss: 1.4619, D_loss: 1.1475, G_loss: 0.0000, G_reg: 0.3144
Step:   41, Loss: 1.2442, D_loss: 0.9784, G_loss: 0.0000, G_reg: 0.2657
Step:   42, Loss: 1.0395, D_loss: 1.0179, G_loss: 0.0000, G_reg: 0.0216
Step:   43, Loss: 1.4982, D_loss: 1.4361, G_loss: 0.0000, G_reg: 0.0621
Step:   44, Loss: 1.5538, D_loss: 1.3361, G_loss: 0.0000, G_reg: 0.2177
Step:   45, Loss: 1.4806, D_loss: 1.2823, G_loss: 0.0000, G_reg: 0.1983
Step:   46, Loss: 1.3654, D_loss: 1.2591, G_loss: 0.0000, G_reg: 0.1062
Step:   47, Loss: 1.2927, D_loss: 1.1216, G_loss: 0.0000, G_reg: 0.1710
